内蒙古,#genre#
呼市-清水河,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000631

阿拉善经济生活,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000330
阿拉善新闻综合,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000329
阿盟-阿右旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000490
阿盟-巴林右旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000507
阿盟-额济纳旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000494

巴彦淖尔经济生活,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000327
巴彦淖尔新闻,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000326
巴彦淖尔影视,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000328
巴盟-磴口,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000535
巴盟-杭后,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000495
巴盟-前旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000500
巴盟-后旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000527
巴盟-中旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000510
巴盟-五原,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000498

包头经济频道(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000621
包头生活服务(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000435
包头新闻综合(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000433
包头-固阳,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000513
包头-达茂,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000635

赤峰1,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000235
赤峰2,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000236
赤峰3,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000237
赤峰-克旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000563
赤峰-翁牛特,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000519

鄂尔多斯1,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000331
鄂尔多斯2,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000332
鄂尔多斯3,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000333
鄂尔多斯4,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000334
伊盟-伊旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000620
伊盟-准格尔,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000522


呼伦贝尔1,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000255
呼伦贝尔2,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000256
呼伦贝尔3,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000257
呼盟-满洲里,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000245
呼盟-扎兰屯,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000585

通辽城市服务,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000242
通辽蒙语,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000243
通辽新闻,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000244

乌海都市生活,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000336
乌海新闻频道,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000335

乌兰察布经济,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000239
乌兰察布生活,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000240
乌兰察布新闻,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000241
乌盟-丰镇,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000632
乌盟-化德,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000633
乌盟-凉城,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000586
乌盟-中旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000617
乌盟-卓资,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000588

锡林郭勒1,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000337
锡林郭勒2,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000338
锡盟-阿巴嘎,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000505
锡盟-东乌旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000503
锡盟-多伦,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000488
锡盟-二连,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000528
锡盟-苏右,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000521
锡盟-苏左,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000506
锡盟-太卜寺,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000493
锡盟-西乌,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000496
锡盟-镶黄,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000512
锡盟-正蓝,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000492
锡盟-正白,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000491

兴安1,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000232
兴安2,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000233
兴安3,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000234
兴安-阿尔山,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000580
兴安-科右中旗,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000511
兴安-突泉,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000504
兴安-扎赉特,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000509
央视频道,#genre#
CCTV1,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000055
CCTV1(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000442
CCTV2,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000058
CCTV2(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000445
CCTV3,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000645
CCTV3(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000476
CCTV3(FHD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000646
CCTV4,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000053
CCTV4(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000381
CCTV5,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000647
CCTV5(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000259
CCTV5(FHD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000648
CCTV6,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000649
CCTV6(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000260
CCTV6(FHD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000650
CCTV7,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000102
CCTV7(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000446
CCTV8,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000651
CCTV8(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000261
CCTV8(FHD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000652
CCTV9,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000084
CCTV9(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000447
CCTV10,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000087
CCTV10(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000448
CCTV11,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000056
CCTV11(HD),http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000583
CCTV12,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000059
CCTV12(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000449
CCTV13,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000063
CCTV14,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000066
CCTV14(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000450
CCTV15,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000064
CCTV15(HD),http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000587
CCTV16,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000153
CCTV17,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000581
CCTV4K,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000545

CETV-1,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000463
CETV-1(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000389
CETV-2,http://10.13.32.101:8006/nmgd_hls/00005000000000000000000000000251
CGTN,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000148
CGTN(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000387
CGTN纪录(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000388

卫视频道,#genre#
安徽卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000057
安徽卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000426
北京纪实(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000441
北京卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000073
北京卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000439
兵团卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000462
东方财经,http://10.13.32.101:8006/nmgd_hls/00005000000000000000000000000243
东方卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000076
东方卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000487
东南卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000075
东南卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000428
甘肃卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000094
广东卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000089
广东卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000477
广西卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000086
贵州卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000081
贵州卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000394
海南卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000088
河北卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000079
河北卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000478
河南卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000085
黑龙江卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000078
黑龙江卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000384
湖北卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000092
湖北卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000438
湖南卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000067
湖南卫视,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000485
吉林卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000091
江苏卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000072
江苏卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000483
江西卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000065
江西卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000480
金鹰纪实(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000386
金鹰卡通,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000151
卡酷动画,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000150
辽宁卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000062
辽宁卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000440
宁夏卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000082
青海卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000096
山东教育,http://10.13.32.101:8006/nmgd_hls/00005000000000000000000000000248
山东卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000095
山东卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000437
山西卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000099
陕西卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000090
深圳卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000149
深圳卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000436
四川卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000069
四川卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000395
天津卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000093
天津卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000392
西藏卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000100
新疆卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000097
云南卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000060
浙江卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000070
浙江卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000484
重庆卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000083
重庆卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000393


IPTV频道,#genre#
IPTV3+,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000104
IPTV5+,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000105
IPTV5+(HD),http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000546
IPTV6+,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000107
IPTV8+,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000146
IPTV少儿动画,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000103
IPTV谍战剧场,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000260
IPTV法治频道,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000263
IPTV经典电影,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000109
IPTV魅力时尚,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000106
IPTV热播剧场,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000108
IPTV收视指南,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000110
IPTV相声小品,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000264
IPTV野外频道,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000262

数字电视,#genre#
IPTV3+,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000104
IPTV5+,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000105
IPTV5+(HD),http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000546
IPTV6+,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000107
IPTV8+,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000146
IPTV少儿动画,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000103
IPTV谍战剧场,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000260
IPTV法治频道,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000263
IPTV经典电影,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000109
IPTV魅力时尚,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000106
IPTV热播剧场,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000108
IPTV收视指南,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000110
IPTV相声小品,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000264
IPTV野外频道,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000262



NewTV,#genre#
Newtv-动作电影,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226329/1.m3u8
Newtv-家庭剧场,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226330/1.m3u8
Newtv-中国功夫,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226321/1.m3u8
Newtv-爱情喜剧,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
Newtv-古装剧场,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226323/1.m3u8
Newtv-军旅剧场,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226324/1.m3u8
Newtv-军事评论,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226326/1.m3u8
Newtv-精品大剧,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8

购物,#genre#
购物-好享购物,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000587
购物-家家购物,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000578
购物-家有购物,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000577
购物-聚鲨环球,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000576
购物-三佳购物,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000501
购物-优购物,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000579
